exp_id,num_clients,distribution,dist_label,dirichlet_alpha,aggregator,regularization,optimizer,div_group,final_global_val,best_global_val,final_local_train,final_local_val,mean_grad_div,final_grad_div,baseline_final_val,fl_vs_baseline,total_min,clients
c32_dirichlet0.5_fedadam_none_adam,32,dirichlet,dirichlet α=0.5,0.5,fedadam,none,adam,"adam(w), none",6.064161682128907,6.064161682128907,6.05359257131815,5.973064894974232,0.3337800464592874,0.40264279674738646,4.191080951690674,1.8730807304382324,14.9212895433108,32 clients
c32_dirichlet0.5_fedadam_none_adamw,32,dirichlet,dirichlet α=0.5,0.5,fedadam,none,adamw,"adam(w), none",6.070522022247315,6.070522022247315,6.0598634538054466,5.978411822766065,0.3215876521542668,0.38910973351448774,4.181219291687012,1.8893027305603027,15.396657800674438,32 clients
c32_dirichlet0.5_fedadam_none_sgd,32,dirichlet,dirichlet α=0.5,0.5,fedadam,none,sgd,"sgd, none",5.433948755264282,5.433948755264282,5.417733396589756,5.386843942850828,0.39149982631206515,0.5614573275670409,5.392149209976196,0.04179954528808594,13.612785422801972,32 clients
c32_dirichlet0.5_fedavg_fedprox_adam,32,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,adam,"adam(w), fedprox",5.715062212944031,5.715062212944031,5.840918343961238,5.661704755574465,0.4848336278926581,0.6013227747753263,4.190437126159668,1.5246250867843631,80.93918435176214,32 clients
c32_dirichlet0.5_fedavg_fedprox_adamw,32,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,adamw,"adam(w), fedprox",5.717133259773254,5.717133259773254,5.84471460968256,5.664464498311281,0.4862508508376777,0.6045631496235728,4.184765481948853,1.5323677778244011,86.81807442506154,32 clients
c32_dirichlet0.5_fedavg_fedprox_sgd,32,dirichlet,dirichlet α=0.5,0.5,fedavg,fedprox,sgd,"sgd, fedprox",5.955311298370361,5.955311298370361,5.995845078229904,5.946921891719103,0.5040853321086616,0.6258044373244047,5.3910698890686035,0.5642414093017578,18.39847910006841,32 clients
c32_dirichlet0.5_fedavg_none_adam,32,dirichlet,dirichlet α=0.5,0.5,fedavg,none,adam,"adam(w), none",5.259642791748047,5.259642791748047,5.319557432830334,5.2366147510707375,0.4904416908510029,0.6242944458499551,4.189907026290894,1.0697357654571533,76.8567727804184,32 clients
c32_dirichlet0.5_fedavg_none_adamw,32,dirichlet,dirichlet α=0.5,0.5,fedavg,none,adamw,"adam(w), none",5.26153872013092,5.26153872013092,5.322607051730156,5.239002019166946,0.45959226675331594,0.5782236214727163,4.183547687530518,1.0779910326004023,78.34274695316951,32 clients
c32_dirichlet0.5_fedavg_none_sgd,32,dirichlet,dirichlet α=0.5,0.5,fedavg,none,sgd,"sgd, none",5.909965515136719,5.909965515136719,5.945364782512188,5.906924723088741,0.5056577191222459,0.6278692465275526,5.391976594924927,0.517988920211792,75.06147691408793,32 clients
c32_dirichlet2.0_fedadam_fedprox_adam,32,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,adam,"adam(w), fedprox",5.181919908523559,5.181919908523559,5.286115017235279,5.164394418150187,0.45032340330071746,0.6192662715911865,4.190346670150757,0.9915732383728022,19.988512245814004,32 clients
c32_dirichlet2.0_fedadam_fedprox_adamw,32,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,adamw,"adam(w), fedprox",5.1767683029174805,5.1767683029174805,5.285034582316875,5.160953088849783,0.45120597300119697,0.6195552097633481,4.180140590667724,0.9966277122497562,18.47175262371699,32 clients
c32_dirichlet2.0_fedadam_fedprox_sgd,32,dirichlet,dirichlet α=2.0,2.0,fedadam,fedprox,sgd,"sgd, fedprox",5.467507386207581,5.467507386207581,5.479376419484615,5.427281583100557,0.3282778409309685,0.5125502543523908,5.393066501617431,0.07444088459014964,20.61652021010717,32 clients
c32_dirichlet2.0_fedadam_none_adam,32,dirichlet,dirichlet α=2.0,2.0,fedadam,none,adam,"adam(w), none",6.1477388620376585,6.1477388620376585,6.162295836210252,6.0817845717072485,0.22284798929467797,0.2942880690097809,4.189949703216553,1.9577891588211056,14.21388350725174,32 clients
c32_dirichlet2.0_fedadam_none_adamw,32,dirichlet,dirichlet α=2.0,2.0,fedadam,none,adamw,"adam(w), none",6.146951198577881,6.146951198577881,6.162902861833572,6.082760052382946,0.2152921263128519,0.2841514367610216,4.1816184520721436,1.9653327465057373,14.335139604409536,32 clients
c32_dirichlet2.0_fedadam_none_sgd,32,dirichlet,dirichlet α=2.0,2.0,fedadam,none,sgd,"sgd, none",5.4545986413955685,5.4545986413955685,5.456856594979763,5.410791885852813,0.3271063275169581,0.5149971777573228,5.392978763580322,0.06161987781524658,14.342606894175212,32 clients
c32_dirichlet2.0_fedavg_fedprox_adam,32,dirichlet,dirichlet α=2.0,2.0,fedavg,fedprox,adam,"adam(w), fedprox",5.658866143226623,5.658866143226623,5.822498724460602,5.657238177210092,0.44217194742523136,0.5841224752366543,4.19166111946106,1.4672050237655636,19.376536122957866,32 clients
c32_dirichlet2.0_fedavg_fedprox_adamw,32,dirichlet,dirichlet α=2.0,2.0,fedavg,fedprox,adamw,"adam(w), fedprox",5.6602812051773075,5.6602812051773075,5.825921671092511,5.6594071261584755,0.4436370083130896,0.5871542738750577,4.181948518753051,1.478332686424256,32.270273649692534,32 clients
c32_dirichlet2.0_fedavg_fedprox_sgd,32,dirichlet,dirichlet α=2.0,2.0,fedavg,fedprox,sgd,"sgd, fedprox",5.9445067882537845,5.9445067882537845,6.0069553741812705,5.964850045740604,0.45118604018352926,0.6096598710864782,5.393317651748657,0.5511891365051271,17.763477210203806,32 clients
c32_dirichlet2.0_fedavg_none_adam,32,dirichlet,dirichlet α=2.0,2.0,fedavg,none,adam,"adam(w), none",5.237760257720947,5.237760257720947,5.335302177667618,5.263840686529875,0.4694042794406414,0.6309087304398417,4.190388584136963,1.0473716735839842,14.193511780103048,32 clients
c32_dirichlet2.0_fedavg_none_adamw,32,dirichlet,dirichlet α=2.0,2.0,fedavg,none,adamw,"adam(w), none",5.238537859916687,5.238537859916687,5.337540498673916,5.2657245606184,0.43398003559559584,0.5766511419788003,4.1824687957763675,1.0560690641403196,14.857882976531982,32 clients
c32_dirichlet2.0_fedavg_none_sgd,32,dirichlet,dirichlet α=2.0,2.0,fedavg,none,sgd,"sgd, none",5.9016107559204105,5.9016107559204105,5.958404724895954,5.926817072182894,0.4539474544581026,0.6139901001006365,5.393414115905761,0.5081966400146491,13.654208298524221,32 clients
c32_multi_language_fedadam_fedprox_adam,32,multi_language,multi_language,0.5,fedadam,fedprox,adam,"adam(w), fedprox",5.195315217971801,5.195315217971801,5.303824256956577,5.010744911432266,0.4254742045421153,0.6103829536587,4.1890233039855955,1.0062919139862059,17.55641917785009,32 clients
c32_multi_language_fedadam_fedprox_adamw,32,multi_language,multi_language,0.5,fedadam,fedprox,adamw,"adam(w), fedprox",5.19094705581665,5.19094705581665,5.303588559925556,5.008119904249906,0.4266481302678585,0.6114004924893379,4.181716394424439,1.0092306613922117,17.56917370557785,32 clients
c32_multi_language_fedadam_fedprox_sgd,32,multi_language,multi_language,0.5,fedadam,fedprox,sgd,"sgd, fedprox",5.489334225654602,5.489334225654602,5.504973045885563,5.2913035362958905,0.2836707749404013,0.4848614986985922,5.391381168365479,0.09795305728912318,16.78519303003947,32 clients
c32_multi_language_fedadam_none_adam,32,multi_language,multi_language,0.5,fedadam,none,adam,"adam(w), none",6.203746366500854,6.203746366500854,6.232744832634926,6.002979796379805,0.1645778809674084,0.23104928992688656,4.190259885787964,2.0134864807128903,13.186161398887634,32 clients
